CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,RM_LSTAT,RM_AGE
-1.2191196968626448,1.6447253904583314,2.31,0,0.538,6.575,65.2,1.6272778305624314,1,296.0,15.3,-0.3529821088220308,1.7884205679625405,24.0,11.758865234353705,428.69000000000005
-1.1208778805056296,-0.5977304368109426,7.07,0,0.469,6.421,78.9,1.7862610472398053,2,242.0,17.8,-0.3529821088220308,2.316487998163037,21.6,14.87416943620486,506.61690000000004
-1.1209681503462028,-0.5977304368109426,7.07,0,0.469,7.185,61.1,1.7862610472398053,2,242.0,17.8,-0.3369451563754254,1.6154199841116479,34.7,11.60679258584219,439.0035
-1.0982353200641382,-0.5977304368109426,2.18,0,0.458,6.998,45.8,1.9547566176942426,3,222.0,18.7,-0.3440711002067171,1.3711807233098425,33.4,9.595522701722278,320.5084
-0.9449891814102283,-0.5977304368109426,2.18,0,0.458,7.147,54.2,1.9547566176942426,3,222.0,18.7,-0.3529821088220308,1.8453002361560848,36.2,13.18836078780754,387.36740000000003
-1.1094633274856673,-0.5977304368109426,2.18,0,0.458,6.43,58.7,1.9547566176942426,3,222.0,18.7,-0.34205749674921077,1.8261608959453874,28.7,11.74221456092884,377.441
-0.8715445104910884,1.6190606897351467,7.87,0,0.524,6.012,66.6,1.8810668195636333,5,311.0,15.2,-0.3478891479939504,2.5974910105351463,22.9,15.616115955337298,400.39919999999995
-0.679837741701283,1.6190606897351467,7.87,0,0.524,6.172,96.1,1.9388135994350102,5,311.0,15.2,-0.3529821088220308,3.0032042883926917,27.1,18.535776867959694,593.1292
-0.48890603009212036,1.6190606897351467,7.87,0,0.524,5.631,100.0,1.95757047389502,5,311.0,15.2,-0.31198572273529107,3.4317265866969784,16.5,19.324052409690687,563.1
-0.6027298150559625,1.6190606897351467,7.87,0,0.524,6.004,85.9,2.027108232980627,5,311.0,15.2,-0.31231193889411313,2.89591193827178,18.9,17.387055277383766,515.7436
-0.4538380720164431,1.6190606897351467,7.87,0,0.524,6.377,94.3,1.9942512328113926,5,311.0,15.2,-0.33571251012623177,3.065724645374026,15.0,19.550126063550163,601.3511
-0.7681298258067565,1.6190606897351467,7.87,0,0.524,6.009,82.9,1.9777825004388234,5,311.0,15.2,-0.3529821088220308,2.658159431488745,18.9,15.97288002381587,498.14610000000005
-0.8513814390400137,1.6190606897351467,7.87,0,0.524,5.889,39.0,1.8642196559573156,5,311.0,15.2,-0.32764123887030205,2.8160073426073025,21.7,16.583467240614404,229.67100000000002
0.22006844045235416,-0.5977304368109426,8.14,0,0.538,5.949,61.8,1.7417810994218135,4,307.0,21.0,-0.3529821088220308,2.225704048658088,20.4,13.240713385466966,367.6482
0.22901935860700567,-0.5977304368109426,8.14,0,0.538,6.096,84.5,1.6977967145719404,4,307.0,21.0,-0.28464635030113694,2.421256622711544,18.2,14.759980372049574,515.112
0.21745852999032775,-0.5977304368109426,8.14,0,0.538,5.834,56.5,1.7044935143816868,4,307.0,21.0,-0.3479677091079176,2.248128907197987,19.9,13.115584044593055,329.621
0.5648264882084787,-0.5977304368109426,8.14,0,0.538,5.935,29.3,1.7044935143816868,4,307.0,21.0,-0.3128825522927071,2.0255131996542803,23.1,12.021420839948153,173.8955
0.37045184106189805,-0.5977304368109426,8.14,0,0.538,5.99,81.7,1.6597317074885674,4,307.0,21.0,-0.3124750056850848,2.7517480563679295,17.5,16.4829708576439,489.38300000000004
0.3862104118919401,-0.5977304368109426,8.14,0,0.538,5.456,36.6,1.5678864852758652,4,307.0,21.0,0.18896380474650012,2.540814281726296,20.2,13.862682721098674,199.6896
0.31779397741826426,-0.5977304368109426,8.14,0,0.538,5.727,69.5,1.5678864852758652,4,307.0,21.0,-0.3294451997468284,2.5079719227189963,18.2,14.363155201411692,398.0265
0.6712635042054784,-0.5977304368109426,8.14,0,0.538,5.57,98.1,1.5681783221827976,4,307.0,21.0,-0.2700676659068737,3.091951131294534,13.6,17.222167801310555,546.417
0.4262154117939264,-0.5977304368109426,8.14,0,0.538,5.965,89.2,1.6118948915872748,4,307.0,21.0,-0.33575229778384263,2.696652156149841,19.6,16.0855301114338,532.078
0.6618795688426639,-0.5977304368109426,8.14,0,0.538,6.142,91.7,1.604807207249406,4,307.0,21.0,-0.3529821088220308,2.9816333491744893,15.2,18.313192030629715,563.2214
